Position,Players,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Centuries,Fifties,Fours,Sixes

1,Gautam Gambhir,154,152,17,4217,93,31.23,"3,404",123.88,0,36,491,59
2,Shikhar Dhawan,143,142,20,4058,95*,33.26,"3,285",123.53,0,32,460,85
3,Suresh Raina,176,172,27,4985,100*,34.37,"3,600",138.47,1,35,448,185
4,Virat Kohli,163,155,26,4948,113,38.35,"3,784",130.76,4,34,434,178
5,Robin Uthappa,165,158,15,4086,87,28.57,"3,099",131.84,0,23,401,145
6,David Warner,114,114,15,4014,126,40.54,"2,824",142.13,3,36,401,160
7,Rohit Sharma,173,168,27,4493,109*,31.86,"3,429",131.02,1,34,379,184
8,Ajinkya Rahane,126,119,15,3427,103*,32.95,"2,848",120.33,1,26,359,65
9,Dinesh Karthik,168,150,23,3401,86,26.77,"2,642",128.72,0,16,335,87
10,Virender Sehwag,104,104,5,2728,122,27.55,"1,755",155.44,2,16,334,106
11,AB de Villiers,141,129,29,3953,133*,39.53,"2,619",150.93,3,28,326,186
12,Chris Gayle,112,111,14,3994,175*,41.17,"2,650",150.71,6,24,324,292
13,Parthiv Patel,125,123,11,2475,81,22.09,"2,090",118.42,0,11,317,39
14,Shane Watson,117,113,15,3177,117*,32.41,"2,250",141.20,4,16,301,157
15,Sachin Tendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
16,Brendon McCullum,109,110,6,2881,158*,27.70,"2,189",131.61,2,13,293,130
17,MS Dhoni,175,158,58,4016,79*,40.16,"2,906",138.19,0,20,275,186
18,Rahul Dravid,89,82,5,2174,75*,28.23,"1,882",115.51,0,11,269,28
19,Shaun Marsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
20,Yusuf Pathan,164,146,39,3164,100,29.57,"2,196",144.08,1,13,261,157
21,Ambati Rayudu,130,123,20,3018,100*,29.30,"2,317",130.25,1,17,258,113
22,Jacques Kallis,98,96,11,2427,89*,28.55,"2,222",109.22,0,17,255,44
23,Adam Gilchrist,80,80,4,2069,109*,27.22,"1,495",138.39,2,11,239,92
24,Murali Vijay,101,101,5,2523,127,26.28,"2,045",123.37,2,13,237,90
25,Dwayne Smith,76,75,4,2103,87*,29.61,"1,567",134.20,0,17,227,100
26,Manish Pandey,118,109,20,2499,114*,28.07,"2,090",119.56,1,12,219,69
27,Yuvraj Singh,128,122,15,2652,83,24.78,"2,045",129.68,0,12,210,143
28,Mahela Jayawardene,80,78,15,1802,110*,28.60,"1,462",123.25,1,10,200,39
29,Michael Hussey,59,58,7,1977,116*,38.76,"1,612",122.64,1,15,198,52
30,Kumar Sangakkara,71,68,3,1687,94,25.95,"1,392",121.19,0,10,195,27
31,Aaron Finch,75,74,8,1738,88*,26.33,"1,333",130.38,0,13,176,67
32,Kieron Pollard,132,121,33,2476,78,28.13,"1,699",145.73,0,13,167,154
33,Karun Nair,68,62,4,1459,83*,25.15,"1,133",128.77,0,10,158,39
34,Manoj Tiwary,98,85,26,1695,75*,28.72,"1,449",116.97,0,7,156,40
35,Subramaniam Badrinath,95,67,20,1441,71*,30.65,"1,212",118.89,0,11,154,28
36,Steve Smith,69,62,16,1703,101,37.02,"1,293",131.70,1,5,150,45
37,Mandeep Singh,84,72,7,1364,77*,20.98,"1,106",123.32,0,5,150,29
38,Wriddhiman Saha,115,90,21,1679,115*,24.33,"1,293",129.85,1,6,147,58
39,Sanju Samson,81,77,7,1867,102,26.67,"1,466",127.35,1,10,142,76
40,Tillakaratne Dilshan,52,50,7,1153,76*,26.81,"1,007",114.49,0,9,140,24
41,Sourav Ganguly,59,56,3,1349,91,25.45,"1,263",106.80,0,7,137,42
42,Ravindra Jadeja,154,119,42,1821,48,23.64,"1,484",122.70,0,0,128,61
